Merit,Dept.-Univ.
1529,ECE-RUET
1530,ME-RUET
1531,ME-CUET
1533,ME-CUET
1534,CE-RUET
1535,ME-CUET
1536,ME-CUET
1537,CE-KUET
1538,CE-KUET
1539,ME-RUET
1540,ME-RUET
1541,ME-RUET
1542,ECE-RUET
1544,ME-RUET
1545,CE-RUET
1546,ME-RUET
1547,CE-KUET
1548,ME-CUET
1549,ME-RUET
1550,CE-KUET
1551,CE-KUET
1552,ME-RUET
1553,ECE-RUET
1555,ME-RUET
1556,CE-KUET
1557,ME-CUET
1558,ME-CUET
1559,CE-KUET
1560,CE-CUET
1561,ME-RUET
1562,ECE-KUET
1563,CE-KUET
1564,CE-KUET
1565,ME-RUET
1566,ECE-KUET
1568,CE-KUET
1569,ME-CUET
1570,ME-RUET
1572,CE-KUET
1573,ME-CUET
1574,ME-CUET
1575,ECE-KUET
1576,ME-RUET
1577,CE-KUET
1578,ME-RUET
1579,ME-CUET
1580,CE-RUET
1581,ME-RUET
1582,CE-KUET
1583,ME-CUET
1584,ME-RUET
1585,CE-KUET
1587,ME-CUET
1588,ME-CUET
1589,CE-KUET
1590,CE-RUET
1591,ME-RUET
1592,ME-CUET
1593,CE-KUET
1594,ME-RUET
1595,CE-RUET
1596,ME-CUET
1597,ECE-RUET
1599,CE-RUET
1600,ECE-KUET
1602,ECE-KUET
1603,ME-RUET
1604,ECE-RUET
1606,ECE-RUET
1607,ME-RUET
1608,ME-CUET
1609,ME-RUET
1610,ME-RUET
1614,CE-RUET
1615,CE-RUET
1616,ME-RUET
1617,ME-RUET
1619,CE-KUET
1620,CE-KUET
1621,CE-CUET
1623,ECE-KUET
1624,ME-CUET
1625,ME-RUET
1628,ME-RUET
1629,ME-RUET
1630,ME-CUET
1631,ME-RUET
1632,CE-CUET
1633,ME-CUET
1634,ME-CUET
1635,ME-RUET
1636,ME-RUET
1637,ME-RUET
1638,ME-CUET
1639,ME-RUET
1640,ME-CUET
1642,ME-CUET
1643,CE-RUET
1644,ME-CUET
1645,CE-RUET
1646,ME-CUET
1647,ME-RUET
1648,ME-RUET
